"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"Eotaxin",5080,"F","Control",28,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4683,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5929,"F","Control",7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4683,"F","15 Mosquitos",8,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5929,"F","Control",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6550,"M","15 Mosquitos",1,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6550,"M","15 Mosquitos",3,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6347,"M","15 Mosquitos",28,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4728,"F","15 Mosquitos",-7,5.49,2.39,"Squirrel","Zika virus"
"Eotaxin",6311,"M","15 Mosquitos",3,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5080,"F","Control",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6518,"M","15 Mosquitos",1,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6347,"M","15 Mosquitos",8,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6518,"M","15 Mosquitos",3,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6359,"M","15 Mosquitos",28,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6550,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5730,"F","15 Mosquitos",28,2.39,2.39,"Squirrel","Zika virus"
"G.CSF",6518,"M","15 Mosquitos",7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6311,"M","15 Mosquitos",7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5013,"F","15 Mosquitos",3,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4806,"F","15 Mosquitos",7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5929,"F","Control",5,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6550,"M","15 Mosquitos",7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5730,"F","15 Mosquitos",2,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5013,"F","15 Mosquitos",7,140.55,113.59,"Squirrel","Zika virus"
"G.CSF",6311,"M","15 Mosquitos",1,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4806,"F","15 Mosquitos",3,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5013,"F","15 Mosquitos",1,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6347,"M","15 Mosquitos",28,115.86,113.59,"Squirrel","Zika virus"
"G.CSF",5730,"F","15 Mosquitos",8,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4806,"F","15 Mosquitos",5,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4683,"F","15 Mosquitos",2,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6359,"M","15 Mosquitos",8,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6518,"M","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5929,"F","Control",7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4806,"F","15 Mosquitos",1,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6359,"M","15 Mosquitos",28,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4683,"F","15 Mosquitos",8,120.78,113.59,"Squirrel","Zika virus"
"G.CSF",4728,"F","15 Mosquitos",2,161.88,113.59,"Squirrel","Zika virus"
"G.CSF",5080,"F","Control",8,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6347,"M","15 Mosquitos",2,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6311,"M","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6347,"M","15 Mosquitos",4,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5929,"F","Control",3,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4683,"F","15 Mosquitos",4,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5730,"F","15 Mosquitos",28,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4728,"F","15 Mosquitos",8,166.02,113.59,"Squirrel","Zika virus"
"G.CSF",4806,"F","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5730,"F","15 Mosquitos",4,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6550,"M","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6311,"M","15 Mosquitos",5,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6359,"M","15 Mosquitos",2,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5013,"F","15 Mosquitos",-7,121.82,113.59,"Squirrel","Zika virus"
"G.CSF",6359,"M","15 Mosquitos",4,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6359,"M","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6518,"M","15 Mosquitos",5,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5929,"F","Control",1,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6550,"M","15 Mosquitos",3,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4728,"F","15 Mosquitos",4,132.6,113.59,"Squirrel","Zika virus"
"G.CSF",4728,"F","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6347,"M","15 Mosquitos",-7,117.26,113.59,"Squirrel","Zika virus"
"G.CSF",6550,"M","15 Mosquitos",5,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5080,"F","Control",2,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",4683,"F","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5013,"F","15 Mosquitos",5,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6518,"M","15 Mosquitos",3,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6311,"M","15 Mosquitos",3,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5080,"F","Control",4,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6518,"M","15 Mosquitos",1,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5730,"F","15 Mosquitos",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5080,"F","Control",28,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5929,"F","Control",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6550,"M","15 Mosquitos",1,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",5080,"F","Control",-7,113.59,113.59,"Squirrel","Zika virus"
"G.CSF",6347,"M","15 Mosquitos",8,113.59,113.59,"Squirrel","Zika virus"
"GM.CSF",5929,"F","Control",7,17,17,"Squirrel","Zika virus"
"GM.CSF",4806,"F","15 Mosquitos",7,17,17,"Squirrel","Zika virus"
"GM.CSF",5929,"F","Control",5,17,17,"Squirrel","Zika virus"
"GM.CSF",6518,"M","15 Mosquitos",7,17,17,"Squirrel","Zika virus"
"GM.CSF",6311,"M","15 Mosquitos",7,17,17,"Squirrel","Zika virus"
"GM.CSF",6550,"M","15 Mosquitos",1,17,17,"Squirrel","Zika virus"
"GM.CSF",5013,"F","15 Mosquitos",7,18.92,17,"Squirrel","Zika virus"
"GM.CSF",5929,"F","Control",1,17,17,"Squirrel","Zika virus"
"GM.CSF",6311,"M","15 Mosquitos",1,17,17,"Squirrel","Zika virus"
"GM.CSF",6347,"M","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
