ID	Name	Sex	Original Treatment	Final Treatment	Day Post-Infection	Date	Number of IT-injected mosquitoes that fed	Number of IT-injected mosquitoes that fed and survived to assay	Number of mosquitoes with detectable DENV-2 in collected saliva	Number  IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	% IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	Raw estimated titer delivered (FFU)	Corrected estimated titer delivered (log10)	PRNT50	PRNT80	PRNT90	Viremia (pfu/ml)	Viremia detected after 1 passage?	Viremia deduced	Number of mosquitoes that engorged	Number of mosquitoes that engorged AND survived to titer	Number of mosquitoes with detectable body infection	Number of mosquitoes with detectable leg infection	Number of mosquitoes with positive saliva without amplification	Number of mosquitoes with positive saliva after amplification	% mosquitoes infected (body)	% mosquitoes infected (legs)	% mosquitoes infected (body, legs, or saliva)	Mean titer of infected mosquitoes (bodies)	SE of mean titer of infected mosquitoes (bodies)	Mean titer of infected mosquitoes (legs)	SE of mean titer of infected mosquitoes (legs)	Weight (g)	WBC	LYM	MON	NEU	LYM%	MON%	NEU%	RBC	HGB	HCT	MCH	MCV	MCHC	RDWc	RDWs	PLT	MPV	PCT	PDWc	PDWs	PrVW	PrVR	PrVE	WBC Lyse	Lyse2	% NK cells	Number NK cells	TGFbeta	IL-1B	G-CSF	IL-10	IL-6	IL-12	RANTES	Eotaxin	IL-17	MIP-1a	GM-CSF	MIP-1B	MCP-1	IL-15	EGF	IL-5	HGF	VEGF	IFN-g	MDC	I-TAC	MIF	IL-RA	TNF-alpha	IL-2	IP-10	MIG	IL-4	IL-8
5080	Scarlet	F	Control	Control	4	2021-04-16											0	N	0	2	2												622																												1.45	2.64	87.84	0.42	4.08	55.3	7.22	1.19	15.66	14.2	8.5	26.7	10.06	38.02	1.65	6.06	35.33	0.48	7.72	147.6	22.4	140.52	27.75	7.23	21.89	0.59	11.8	0.18	4.56
6550	Uriah	M	15 Mosquitos	15 Mosquitos	5	2021-04-17											6000	Y	6000	13	13	6	11			46	85	92	5.104004	0.831467	3.68505	0.57454	732																												1.45	6.07	56.75	6.78	4.26	55.3	25.08	1.19	15.66	14.2	0.78	10.44	10.06	38.02	1.65	3.2	35.33	0.48	7.72	147.6	34.32	131.28	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6518	Charles	M	15 Mosquitos	15 Mosquitos	5	2021-04-17											0	N	10	10	10	1	4			10	40	40	1.954243	0	1	0.30103	714																												1.45	0.24	56.75	6.78	4.26	55.3	4.34	1.19	15.66	14.2	2.04	15.48	10.06	38.02	6.18	3.2	35.33	0.48	7.72	147.6	40.92	97.92	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6311	Romulus	M	15 Mosquitos	15 Mosquitos	5	2021-04-17											6000	Y	6000	13	11	1	4			9	36	36	6.060698	0	3.36925	0.71531	756																												61.8	3.51	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	7.1	43.5	10.06	38.02	10.44	3.16	35.33	0.48	7.72	279	55.62	80.09	15.02	6.67	21.89	2.18	11.8	19.49	5.83
5013	Melody	F	15 Mosquitos	15 Mosquitos	5	2021-04-17											10000	Y	10000	14	14	10	14			71	100	100	6.339066	0.163774	4.54414	0.37439	670																												117.06	10.23	72.93	6.78	3.85	1383.45	14.96	1.19	15.66	129.84	13.7	404.86	1841.46	455.03	60.38	3.4	7272.26	0.48	506.54	524.33	82.21	123.64	77.75	9.42	21.89	14.19	11.8	19.49	5.83
4806	Carrie	F	15 Mosquitos	15 Mosquitos	5	2021-04-17											400000	Y	400000	11	11	7	11			64	100	100	6.358811	0.241472	5.76836	0.33990	678																												428.02	4.11	32.94	180.05	63.83	2263.13	6.89	1.19	15.66	165.72	7.74	2106.72	5724.45	3845.04	190.36	3.05	5356.34	0.48	4351.87	252.75	81.53	68.87	44.74	13.04	21.89	6.98	11.8	19.49	5.83
6347	Bloomer	M	15 Mosquitos	15 Mosquitos	5	2021-04-17													0																																																																						
6359	Cassidy	M	15 Mosquitos	15 Mosquitos	5	2021-04-17													0																																																																						
5730	Lydia	F	15 Mosquitos	15 Mosquitos	5	2021-04-17													0																																																																						
4683	Minerva	F	15 Mosquitos	15 Mosquitos	5	2021-04-17													10																																																																						
