"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"Eotaxin","FR469A","M","1 Mosquito",1,198.72,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",4,143.99,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",-7,234.38,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",2,71.09,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",5,133.01,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",-7,196.23,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",28,192.93,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",4,198.01,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",-7,265.75,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",28,256.74,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",7,291.4,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",5,120.26,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",-7,238.07,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",28,138.49,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",28,142.61,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",-7,271.82,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",6,62.49,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",28,267.22,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",6,198.75,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",28,97.06,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",6,125.86,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",28,208.93,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",7,147.27,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",28,219.3,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",7,234.15,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",-7,248.81,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",28,161.67,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",1,219.46,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",-7,221.02,2.64,"Cyno","Dengue virus"
