"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"GM.CSF",6314,"M","15 Mosquitos",-7,17,17,"Squirrel","Dengue virus"
"GM.CSF",6314,"M","15 Mosquitos",3,17,17,"Squirrel","Dengue virus"
"HGF",5045,"F","15 Mosquitos",3,433.48,70.66,"Squirrel","Dengue virus"
"HGF",5910,"F","15 Mosquitos",2,70.66,70.66,"Squirrel","Dengue virus"
"HGF",5045,"F","15 Mosquitos",1,534.93,70.66,"Squirrel","Dengue virus"
"HGF",4872,"F","15 Mosquitos",3,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6541,"M","Control",1,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6401,"M","15 Mosquitos",2,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6552,"M","15 Mosquitos",2,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6363,"M","15 Mosquitos",2,70.66,70.66,"Squirrel","Dengue virus"
"HGF",5910,"F","15 Mosquitos",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6541,"M","Control",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4516,"F","15 Mosquitos",1,3860.45,70.66,"Squirrel","Dengue virus"
"HGF",6401,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6242,"F","15 Mosquitos",4,70.66,70.66,"Squirrel","Dengue virus"
"HGF",5910,"F","15 Mosquitos",4,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6242,"F","15 Mosquitos",2,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6242,"F","15 Mosquitos",28,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6321,"M","Control",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4872,"F","15 Mosquitos",1,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6552,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6314,"M","15 Mosquitos",1,4525.86,70.66,"Squirrel","Dengue virus"
"HGF",5910,"F","15 Mosquitos",28,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6363,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6519,"M","15 Mosquitos",7,1445.96,70.66,"Squirrel","Dengue virus"
"HGF",6321,"M","Control",2,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6363,"M","15 Mosquitos",8,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6242,"F","15 Mosquitos",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6321,"M","Control",4,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6519,"M","15 Mosquitos",1,4369.15,70.66,"Squirrel","Dengue virus"
"HGF",4516,"F","15 Mosquitos",5,2394.04,70.66,"Squirrel","Dengue virus"
"HGF",6242,"F","15 Mosquitos",8,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4516,"F","15 Mosquitos",7,1722.6,70.66,"Squirrel","Dengue virus"
"HGF",6519,"M","15 Mosquitos",5,2222.16,70.66,"Squirrel","Dengue virus"
