"ID","group","day","cytokine","sex","value","LOD","fold_change_baseline","NHP","virus","perc_nk_cells","nb_nk_cells"
"NV259","Control",2,"TGFbeta","F",80.99,3.3,0.82382260197335,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.RA","F",180.4,55.74,1,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.12","F",2953.27,112.39,0.955636380109825,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"RANTES","F",4098.24,9.09,1.25212417851349,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.15","F",75.45,75.45,1,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"I.TAC","F",120.83,32.66,0.656827571211133,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"MCP.1","F",439.92,20.12,0.788655635431419,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"MIF","F",321.19,5.06,2.05601075406478,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"MIP.1a","F",87.48,28.54,3.06517168885774,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IP.10","F",4.38,4.38,1,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"TNF.alpha","F",14.2,14.2,1,"Cyno","Dengue virus",6.1,1909
"NV259","Control",28,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"EGF","F",115.16,3.41,0.988667582417582,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"HGF","F",820.18,74.94,1.00818664568787,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"Eotaxin","F",176.67,2.64,0.649952174232948,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.2","F",43.77,43.77,1,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"GM.CSF","F",12.88,12.88,1,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"MCP.1","F",479.46,20.12,0.859539986733834,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"RANTES","F",3049.02,9.09,0.93155883080815,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"MIP.1a","F",108.88,28.54,3.81499649614576,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.RA","F",185.97,55.74,1.03087583148559,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IFN.g","F",37.56,14.44,1.29696132596685,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"MIF","F",135.72,5.06,0.868774804762514,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"MIP.1B","F",97.85,32.55,1.52438074466428,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"G.CSF","F",136.18,113.59,1.15947211579395,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"TNF.alpha","F",14.2,14.2,1,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.12","F",2342.44,112.39,0.757980435999573,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"MDC","F",1723.1,286.83,0.978117106122101,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"I.TAC","F",152,32.66,0.826266579691237,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.15","F",75.45,75.45,1,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",6.9,2066
